session,task,run,subj,name,trial.type,iti,cue,probe,target.color,location,cue.cresp,target.cresp,cue.rt,cue.acc,cue.resp,target.rt,target.acc,resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,acc,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,883,1,1,487,1,2,1,176056,180855,181342,176939,145441,1,1,30.615,31.498,35.414,35.901,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,565,1,1,403,1,2,1,183271,188070,188473,183836,145441,2,1,37.83,38.395,42.629,43.032,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,348,1,1,287,1,2,1,191670,196469,196756,192018,145441,3,1,46.229,46.577,51.028,51.315,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,T,M,white,center,1,1,561,1,1,352,1,1,1,198869,203668,204020,199430,145441,4,1,53.428,53.989,58.227,58.579,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,489,1,1,328,1,2,1,207267,212066,212394,207756,145441,5,1,61.826,62.315,66.625,66.953,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,N,U,white,center,1,1,471,1,1,655,1,1,1,216866,221665,222320,217337,145441,6,1,71.425,71.896,76.224,76.879,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Bng,1600,T,9,white,center,1,,509,1,1,0,1,,1,226464,231263,0,226973,145441,7,1,81.023,81.532,85.822,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,C,D,white,center,1,1,372,1,1,514,1,1,1,233663,238462,238976,234035,145441,8,1,88.222,88.594,93.021,93.535,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,4000,F,X,white,center,1,1,404,1,1,584,1,1,1,242062,246861,247445,242466,145441,9,1,96.621,97.025,101.42,102.004,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,F,M,white,center,1,1,447,1,1,418,1,1,1,251660,256459,256877,252107,145441,10,1,106.219,106.666,111.018,111.436,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,422,1,1,383,1,2,1,260059,264858,265241,260481,145441,11,1,114.618,115.04,119.417,119.8,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AY,4000,A,H,white,center,1,1,364,1,1,430,1,1,1,267258,272057,272487,267622,145441,12,1,121.817,122.181,126.616,127.046,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,298,1,1,395,1,2,1,276856,281655,282050,277154,145441,13,1,131.415,131.713,136.214,136.609,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,1600,C,M,white,center,1,1,400,1,1,493,1,1,1,284055,288871,289364,284455,145441,14,1,138.614,139.014,143.43,143.923,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,2800,A,7,white,center,1,,309,1,1,0,1,,1,291271,296070,0,291580,145441,15,1,145.83,146.139,150.629,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,371,1,1,334,1,2,1,299669,304468,304802,300040,145441,16,1,154.228,154.599,159.027,159.361,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,424,1,1,376,1,2,1,308068,312867,313243,308492,145441,17,1,162.627,163.051,167.426,167.802,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Bng,1600,N,3,white,center,1,,508,1,1,0,1,,1,316466,321266,0,316974,145441,18,1,171.025,171.533,175.825,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,1600,T,N,white,center,1,1,614,1,1,406,1,1,1,323665,328465,328871,324279,145441,19,1,178.224,178.838,183.024,183.43,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,H,T,white,center,1,1,367,1,1,342,1,1,1,330864,335663,336005,331231,145441,20,1,185.423,185.79,190.222,190.564,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AY,4000,A,T,white,center,1,1,362,1,1,534,1,1,1,340463,345262,345796,340825,145441,21,1,195.022,195.384,199.821,200.355,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,2800,C,X,white,center,1,1,385,1,1,402,1,1,1,350061,354860,355262,350446,145441,22,1,204.62,205.005,209.419,209.821,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,N,P,white,center,1,1,537,1,1,436,1,1,1,358460,363259,363695,358997,145441,23,1,213.019,213.556,217.818,218.254,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,4000,A,5,white,center,1,,489,1,1,0,1,,1,368058,372857,0,368547,145441,24,1,222.617,223.106,227.416,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,2800,A,9,white,center,1,,469,1,1,0,1,,1,407669,412468,0,408138,145441,25,1,262.228,262.697,267.027,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,2800,M,X,white,center,1,1,500,1,1,414,1,1,1,416067,420866,421280,416567,145441,26,1,270.626,271.126,275.425,275.839,28.432,260.028,491.624,231.632,463.229,694.825
