session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,cue,1,130518,bas_cue_run1_130518,5H,o,c,c,l,2,2,,,red,black,black,nonincentive,3200,1,755,2,2,150439,154938,155693,119330,1,31.109,35.608,36.363,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,1B,o,c,c,l,2,2,,stay,red,black,black,nonincentive,2000,1,761,2,2,162437,166937,167698,119330,2,43.107,47.607,48.368,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,B2,e,c,i,n,1,2,,switch,red,black,black,nonincentive,2000,1,716,1,1,173235,177735,178451,119330,3,53.905,58.405,59.121,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,2A,e,v,c,n,1,1,,stay,red,black,black,nonincentive,4400,1,550,1,1,184034,188533,189083,119330,4,64.704,69.203,69.753,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,I6,e,v,c,n,1,1,,stay,red,black,black,nonincentive,3200,1,1116,1,1,197232,201748,202864,119330,5,77.902,82.418,83.534,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,B1,o,c,c,n,2,2,,stay,red,black,black,nonincentive,2000,1,715,2,2,209246,213746,214461,119330,6,89.916,94.416,95.131,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,E3,o,v,i,l,2,1,,switch,red,black,green,nonincentive,4400,1,844,1,1,220045,224544,225388,119330,7,100.715,105.214,106.058,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,A2,e,v,c,l,1,1,,stay,red,black,black,nonincentive,4400,1,899,1,1,233243,237742,238641,119330,8,113.913,118.412,119.311,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,D4,e,c,i,l,1,2,,stay,red,black,green,nonincentive,3200,1,942,2,2,246440,250940,251882,119330,9,127.11,131.61,132.552,28.41,274.404,520.414,246.025,492.019,738.013
bas,cue,1,130518,bas_cue_run1_130518,B1,o,c,c,l,2,2,,stay,red,black,black,nonincentive,3200,1,852,2,2,258439,262938,263790,119330,10,139.109,143.608,144.46,28.41,274.404,520.414,246.025,492.019,738.013
