session,task,run,subj,name,trial.type,load,numtrials,probe,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,syrup,1600,1,1230,1,1,121771,130570,131800,90964,1,30.807,39.606,40.836,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,scale,4000,1,1057,2,2,133786,142585,143642,90964,2,42.822,51.621,52.678,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,doll,1600,1,1004,2,2,148184,156982,157986,90964,3,57.22,66.018,67.022,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,threat,2800,1,1235,1,1,160182,168980,170215,90964,4,69.218,78.016,79.251,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,6,1,parrot,2800,1,824,2,2,173380,182178,183002,90964,5,82.416,91.214,92.038,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,2,chance,1600,1,939,1,1,186578,195376,196315,90964,6,95.614,104.412,105.351,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,blur,4000,1,1111,2,2,198576,207374,208485,90964,7,107.612,116.41,117.521,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,rash,2800,1,1060,1,1,212973,221772,222832,90964,8,122.009,130.808,131.868,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,tube,4000,1,979,2,2,226171,234970,235949,90964,9,135.207,144.006,144.985,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,share,4000,1,797,1,1,240586,249384,250181,90964,10,149.622,158.42,159.217,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,wealth,2800,1,923,1,1,254983,263782,264705,90964,11,164.019,172.818,173.741,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,2,bush,1600,0,1932,2,1,268181,276980,278912,90964,12,177.217,186.016,187.948,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,7,1,straw,4000,1,820,2,2,280179,288978,289798,90964,13,189.215,198.014,198.834,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,6,1,frost,2800,1,1222,1,1,294577,303376,304598,90964,14,203.613,212.412,213.634,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,RN,5,1,quart,1600,0,814,1,2,307775,316573,317387,90964,15,216.811,225.609,226.423,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,6,1,taxi,4000,0,791,1,2,349785,358583,359374,90964,16,258.821,267.619,268.41,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,liar,2800,0,0,,2,364183,372981,0,90964,17,273.219,282.017,-90.964,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,need,2800,1,933,1,1,377380,386179,387112,90964,18,286.416,295.215,296.148,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,7,2,bean,2800,1,838,1,1,390578,399377,400215,90964,19,299.614,308.413,309.251,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,3,bees,2800,1,1219,1,1,403776,412575,413794,90964,20,312.812,321.611,322.83,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,visit,1600,0,1315,2,1,416974,425773,427088,90964,21,326.01,334.809,336.124,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,7,1,logic,1600,1,1426,2,2,428972,437771,439197,90964,22,338.008,346.807,348.233,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,people,4000,1,1025,1,1,440970,449786,450811,90964,23,350.006,358.822,359.847,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,heater,1600,1,853,2,2,455385,464183,465036,90964,24,364.421,373.219,374.072,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,RN,5,1,noise,4000,1,1043,2,2,467383,476181,477224,90964,25,376.419,385.217,386.26,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,pole,2800,1,1437,2,2,481780,490579,492016,90964,26,390.816,399.615,401.052,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,3,city,4000,1,884,1,1,494978,503777,504661,90964,27,404.014,412.813,413.697,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,3,carpet,4000,0,1505,2,1,509376,518175,519680,90964,28,418.412,427.211,428.716,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,tags,1600,1,902,1,1,523774,532572,533474,90964,29,432.81,441.608,442.51,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,greed,1600,1,1055,2,2,535772,544570,545625,90964,30,444.808,453.606,454.661,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,pans,4000,1,868,2,2,577782,586580,587448,90964,31,486.818,495.616,496.484,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,muscle,4000,1,789,1,1,592179,600978,601767,90964,32,501.215,510.014,510.803,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,2,bugs,2800,0,1039,2,1,606577,615376,616415,90964,33,515.613,524.412,525.451,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,RN,5,1,fusion,2800,0,1760,1,2,619775,628574,630334,90964,34,528.811,537.61,539.37,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,shell,4000,1,1801,2,2,632973,641772,643573,90964,35,542.009,550.808,552.609,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,7,1,clue,2800,0,1764,2,1,647371,656186,657950,90964,36,556.407,565.222,566.986,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,8,2,wife,1600,1,1026,1,1,660585,669384,670410,90964,37,569.621,578.42,579.446,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,5,2,gift,4000,1,889,2,2,672583,681382,682271,90964,38,581.619,590.418,591.307,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,6,1,food,2800,1,1014,1,1,686981,695780,696794,90964,39,596.017,604.816,605.83,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,RN,8,1,ground,1600,0,1021,1,2,700179,708978,709999,90964,40,609.215,618.014,619.035,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,marker,1600,1,733,1,1,712177,720976,721709,90964,41,621.213,630.012,630.745,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,8,2,signal,2800,1,1085,2,2,724175,732974,734059,90964,42,633.211,642.01,643.095,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NP,5,3,curve,1600,1,987,1,1,737373,746172,747159,90964,43,646.409,655.208,656.195,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,7,2,pledge,4000,1,1096,2,2,749371,758186,759282,90964,44,658.407,667.222,668.318,28.408,256.421,484.418,228.026,456.023,684.02
bas,ste,1,130518,bas_ste_run1_130518,NN,7,2,berry,1600,1,903,2,2,763785,772584,773487,90964,45,672.821,681.62,682.523,28.408,256.421,484.418,228.026,456.023,684.02
