session,task,run,subj,name,word,trial.type,pc,color,iti,time.target.onset.abs,time.scan.start,trial.num,listener1,listener2,correctcolor,response.final,acc.final,rt,item,time.target.onset,time.rt.abs,time.rt,acc,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,stp,1,130518,bas_stp_run1_130518,YELLOW,c,pc50,yellow,1200,120769,90040,1,yellow,yellow,yellow,yellow,1,682,yellowYELLOW,30.729,121451,712.729,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,BLACK,i,pc50,green,1200,124369,90040,2,green,green,green,green,1,781,greenBLACK,34.329,125150,815.329,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,PURPLE,c,mc,purple,2400,127968,90040,3,purple,purple,purple,purple,1,669.5,purplePURPLE,37.928,128637.5,707.428,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,PINK,c,pc50,pink,3600,132767,90040,4,pink,pink,pink,pink,1,724,pinkPINK,42.727,133491,766.727,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,PINK,i,pc50,black,3600,138766,90040,5,black,black,black,black,1,649.5,blackPINK,48.726,139415.5,698.226,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,GREEN,c,pc50,green,2400,144765,90040,6,green,green,green,green,1,639.5,greenGREEN,54.725,145404.5,694.225,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,RED,c,mc,red,1200,149565,90040,7,red,red,red,red,1,671.5,redRED,59.525,150236.5,731.025,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,RED,i,mc,white,1200,153164,90040,8,white,white,white,white,1,781,whiteRED,63.124,153945,844.124,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,PURPLE,c,mc,purple,2400,156763,90040,9,purple,purple,purple,purple,1,717.5,purplePURPLE,66.723,157480.5,784.223,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,BLUE,i,mc,purple,2400,161563,90040,10,purple,purple,purple,purple,1,803,purpleBLUE,71.523,162366,874.523,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,YELLOW,i,pc50,pink,3600,166362,90040,11,pink,pink,pink,pink,1,764.5,pinkYELLOW,76.322,167126.5,840.822,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,GREEN,c,pc50,green,3600,172361,90040,12,green,green,green,green,1,616.5,greenGREEN,82.321,172977.5,698.821,1,28.43,231.231,434.031,202.835,405.636,608.454
bas,stp,1,130518,bas_stp_run1_130518,WHITE,c,mc,white,1200,178360,90040,13,white,white,white,white,1,654,whiteWHITE,88.32,179014,742.32,1,28.43,231.231,434.031,202.835,405.636,608.454
