task,subj,wave,session,trialtype,cresp,resp,acc,rt,trialnum,hilo,hilo_all
Axcpt,130518,wave1,baseline,AX,2,1,0,589,1,,
Axcpt,130518,wave1,baseline,BY,1,2,0,439,2,lo,lo
Axcpt,130518,wave1,baseline,Ang,,,1,0,3,,
Axcpt,130518,wave1,baseline,AX,2,2,1,401,4,,
Axcpt,130518,wave1,baseline,BY,1,,0,0,5,lo,lo
Axcpt,130518,wave1,baseline,AY,1,1,1,1480,6,,
Axcpt,130518,wave1,baseline,BY,1,1,1,447,7,lo,lo
Axcpt,130518,wave1,baseline,AX,2,2,1,339,8,,
Axcpt,130518,wave1,baseline,AX,2,2,1,301,9,,
Axcpt,130518,wave1,baseline,AX,2,2,1,306,10,,
Axcpt,130518,wave1,baseline,AX,2,2,1,387,11,,
Axcpt,130518,wave1,baseline,AX,2,2,1,327,12,,
Axcpt,130518,wave1,baseline,BY,1,1,1,381,13,lo,lo
Axcpt,130518,wave1,baseline,AY,1,1,1,750,14,,
Axcpt,130518,wave1,baseline,BX,1,2,0,1415,15,hi,hi
Axcpt,130518,wave1,baseline,Ang,,,1,0,16,,
Axcpt,130518,wave1,baseline,BY,1,1,1,690,17,lo,lo
Axcpt,130518,wave1,baseline,BY,1,1,1,405,18,lo,lo
Axcpt,130518,wave1,baseline,Bng,,,1,0,19,,
Axcpt,130518,wave1,baseline,BY,1,1,1,449,20,lo,lo
Axcpt,130518,wave1,baseline,BY,1,1,1,391,21,lo,lo
Axcpt,130518,wave1,baseline,AX,2,2,1,305,22,,
Axcpt,130518,wave1,baseline,BX,1,2,0,431,23,hi,hi
Axcpt,130518,wave1,baseline,Bng,,,1,0,24,,
Axcpt,130518,wave1,baseline,BY,1,1,1,884,25,lo,lo
Axcpt,130518,wave1,baseline,BX,1,1,1,1024,26,hi,hi
Axcpt,130518,wave1,baseline,BY,1,1,1,381,27,lo,lo
Axcpt,130518,wave1,baseline,AX,2,2,1,313,28,,
Axcpt,130518,wave1,baseline,AX,2,2,1,331,29,,
Axcpt,130518,wave1,baseline,Bng,,,1,0,30,,
