"task","b","se","t","roi","hemi","community","parcel","r.spearman","r.pearson","p","lb","ub","icc","control","conjunc"
"Axcpt",-0.00948799885150821,0.0220728842280429,-0.429848621208008,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.815812943953339,-0.376998192277822,0.116319804559906,-0.138948859590494,FALSE,FALSE
"Cuedts",0.0169948118171643,0.0220728842280429,0.769940694726831,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.628542885510024,-0.298276146805473,0.202922096311334,-0.0508800588060904,FALSE,FALSE
"Stern",0.0343618753754532,0.0220728842280429,1.55674605187289,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.217101398657104,-0.134348268053016,0.361177303092604,0.120941959483868,FALSE,FALSE
"Stroop",-0.00857522805601282,0.0220728842280429,-0.38849603737414,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.0730507724229945,-0.0301313464475656,0.448853932818512,0.222763310480009,FALSE,FALSE
"Axcpt",0.0730190037831858,0.0323091475796552,2.26001022166135,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.358722361704057,-0.197870795813631,0.303063032284724,0.0561276365261012,FALSE,FALSE
"Cuedts",0.0177229825566193,0.0323091475796552,0.54854379902549,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.167671569543248,-0.106475606336611,0.385517151120906,0.148710546216112,FALSE,FALSE
"Stern",0.165937153964805,0.0323091475796552,5.13591866067349,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.644010906891513,-0.304096042171231,0.196777223789813,-0.057261856350826,FALSE,FALSE
"Stroop",0.0311692480646124,0.0323091475796552,0.964718985165656,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.118958063190412,-0.0728655493283187,0.413983969983868,0.181668293725508,FALSE,FALSE
"Axcpt",0.0778756216916591,0.0397710311936052,1.95809913282261,"LH_Cont_OFC_1","LH","Cont","OFC_1",0.0406888305587197,-0.00514814798799535,0.33166247297318,-0.186880972683686,0.313390982452996,0.0674962163823205,FALSE,FALSE
"Cuedts",-0.0254750097390466,0.0397710311936052,-0.640541846024419,"LH_Cont_OFC_1","LH","Cont","OFC_1",0.0406888305587197,-0.00514814798799535,0.439005625253996,-0.228755311541081,0.273394563951184,0.0238221400304803,FALSE,FALSE
"Stern",0.0073381302164249,0.0397710311936052,0.184509427998055,"LH_Cont_OFC_1","LH","Cont","OFC_1",0.0406888305587197,-0.00514814798799535,0.701737179549138,-0.326517018564293,0.172730682360246,-0.0820375487176126,FALSE,FALSE
"Stroop",0.0529198142460239,0.0397710311936052,1.33061207260155,"LH_Cont_OFC_1","LH","Cont","OFC_1",0.0406888305587197,-0.00514814798799535,0.179679877127182,-0.113693378681824,0.379279238213809,0.141558132492496,FALSE,FALSE
"Axcpt",0.0888189663404358,0.0267320396782282,3.32256600729101,"LH_Cont_Par_1","LH","Cont","Par_1",0.131907938956142,0.0265583462301069,0.305733754736074,-0.175960259996826,0.323538074490416,0.0787282478489886,FALSE,TRUE
"Cuedts",-0.011140126417282,0.0267320396782282,-0.416733124422041,"LH_Cont_Par_1","LH","Cont","Par_1",0.131907938956142,0.0265583462301069,0.921039121107907,-0.443651009935212,0.03662080292274,-0.216580122262729,FALSE,TRUE
"Stern",0.135327197037353,0.0267320396782282,5.06235957548612,"LH_Cont_Par_1","LH","Cont","Par_1",0.131907938956142,0.0265583462301069,0.545173325066481,-0.267637197401962,0.234633790331748,-0.0176128520890069,FALSE,TRUE
"Stroop",0.0685717471987272,0.0267320396782282,2.56515208057899,"LH_Cont_Par_1","LH","Cont","Par_1",0.131907938956142,0.0265583462301069,0.181155983545393,-0.114558261243103,0.378528750455568,0.140699289899618,FALSE,TRUE
"Axcpt",0.103637541588286,0.024182360260932,4.28566692705007,"LH_Cont_Par_2","LH","Cont","Par_2",0.267612841756225,0.289133258388798,0.645948238914642,-0.3048295146279,0.195999992815621,-0.0580675783427272,FALSE,FALSE
"Cuedts",-0.0240703404774926,0.024182360260932,-0.995367706781692,"LH_Cont_Par_2","LH","Cont","Par_2",0.267612841756225,0.289133258388798,0.370231490123232,-0.202438964685648,0.298735081454473,0.0513825701931484,FALSE,FALSE
"Stern",0.0449593057700166,0.024182360260932,1.85917773471645,"LH_Cont_Par_2","LH","Cont","Par_2",0.267612841756225,0.289133258388798,0.00221521122076313,0.189869856911082,0.607914552268481,0.420998050911383,FALSE,FALSE
"Stroop",0.0380522134188498,0.024182360260932,1.57355249893971,"LH_Cont_Par_2","LH","Cont","Par_2",0.267612841756225,0.289133258388798,0.143089798263761,-0.0905246033535285,0.399145012008784,0.164422971122127,FALSE,FALSE
"Axcpt",0.13664241053979,0.027169234926175,5.02930652670488,"LH_Cont_Par_3","LH","Cont","Par_3",0.13009199972643,0.100537319272211,0.312234979685407,-0.178738905942059,0.32096711826392,0.0758765106643856,FALSE,TRUE
"Cuedts",-0.021257939298944,0.027169234926175,-0.782426864676413,"LH_Cont_Par_3","LH","Cont","Par_3",0.13009199972643,0.100537319272211,0.800552368811501,-0.369492378263723,0.124913667106474,-0.130386278531983,FALSE,TRUE
"Stern",0.0673730108571011,0.027169234926175,2.47975370083732,"LH_Cont_Par_3","LH","Cont","Par_3",0.13009199972643,0.100537319272211,0.249633091663958,-0.150576360626246,0.346688113813658,0.104588308912469,FALSE,TRUE
"Stroop",0.0556937912364115,0.027169234926175,2.04988441477076,"LH_Cont_Par_3","LH","Cont","Par_3",0.13009199972643,0.100537319272211,0.0339160703919237,0.0286384944201479,0.494538873753786,0.277848095996831,FALSE,TRUE
"Axcpt",0.167726757453889,0.0254034883615664,6.60250887856987,"LH_Cont_Par_4","LH","Cont","Par_4",0.120389695841971,0.166632675759533,0.179574769655257,-0.113631615473091,0.379332807430215,0.141619449677074,FALSE,TRUE
"Cuedts",0.00990925445602223,0.0254034883615664,0.390074556493359,"LH_Cont_Par_4","LH","Cont","Par_4",0.120389695841971,0.166632675759533,0.505623475814902,-0.253257405621719,0.24915735194655,-0.002188108356824,FALSE,TRUE
"Stern",0.143664665177422,0.0254034883615664,5.65531249616787,"LH_Cont_Par_4","LH","Cont","Par_4",0.120389695841971,0.166632675759533,0.134135880575234,-0.0842401182196109,0.404455448991464,0.170578133588847,FALSE,TRUE
"Stroop",0.074213386221295,0.0254034883615664,2.92138564456267,"LH_Cont_Par_4","LH","Cont","Par_4",0.120389695841971,0.166632675759533,0.769367677573584,-0.355032466305579,0.141263182460365,-0.113990446627159,FALSE,TRUE
"Axcpt",0.15765287572618,0.0256455593656578,6.14737520357205,"LH_Cont_Par_5","LH","Cont","Par_5",0.181669390575511,0.0749070491090179,0.198803499030896,-0.124559650066056,0.369802853396391,0.130739760660514,FALSE,TRUE
"Cuedts",0.0122394349980806,0.0256455593656578,0.477253579209138,"LH_Cont_Par_5","LH","Cont","Par_5",0.181669390575511,0.0749070491090179,0.318230485462439,-0.181276568300383,0.318612681379096,0.0732684519009577,FALSE,TRUE
"Stern",0.121884458255163,0.0256455593656578,4.75265353027858,"LH_Cont_Par_5","LH","Cont","Par_5",0.181669390575511,0.0749070491090179,0.62570520550685,-0.297214935259765,0.204038325683007,-0.0497185626899624,FALSE,TRUE
"Stroop",0.0567093307638328,0.0256455593656578,2.21127291299299,"LH_Cont_Par_5","LH","Cont","Par_5",0.181669390575511,0.0749070491090179,0.00558790593883032,0.141252693148777,0.575433227270474,0.379012370088011,FALSE,TRUE
"Axcpt",0.135876772073965,0.0240706383879051,5.64491767456571,"LH_Cont_Par_6","LH","Cont","Par_6",0.253337672720584,0.268655696465855,0.113541580420235,-0.0685515064436875,0.417570168898619,0.185857601168541,FALSE,TRUE
"Cuedts",0.00199449640206727,0.0240706383879051,0.0828601373144077,"LH_Cont_Par_6","LH","Cont","Par_6",0.253337672720584,0.268655696465855,0.658610487158012,-0.309651253692632,0.190874878243682,-0.063372290226253,FALSE,TRUE
"Stern",0.0528158608218751,0.0240706383879051,2.19420274488498,"LH_Cont_Par_6","LH","Cont","Par_6",0.253337672720584,0.268655696465855,0.0121644776311278,0.0960970228184352,0.543985651645377,0.339119062196387,FALSE,TRUE
"Stroop",0.0536067109524887,0.0240706383879051,2.22705813151282,"LH_Cont_Par_6","LH","Cont","Par_6",0.253337672720584,0.268655696465855,0.425327161576874,-0.223630044780922,0.278385047993789,0.0292199737929083,FALSE,TRUE
"Axcpt",0.0822377228259254,0.0264026876113669,3.1147481664147,"LH_Cont_pCun_1","LH","Cont","pCun_1",0.18318110102518,0.169899095873332,0.444758556234578,-0.230898559344264,0.271299632011288,0.0215605368024394,FALSE,FALSE
"Cuedts",0.00782250806439724,0.0264026876113669,0.296276961631341,"LH_Cont_pCun_1","LH","Cont","pCun_1",0.18318110102518,0.169899095873332,0.552099600373265,-0.270156281709054,0.232066226845469,-0.0203272995670382,FALSE,FALSE
"Stern",0.0905342697300721,0.0264026876113669,3.42897931690466,"LH_Cont_pCun_1","LH","Cont","pCun_1",0.18318110102518,0.169899095873332,0.0559987030313331,-0.00876171412253296,0.46576052643854,0.242981598158096,FALSE,FALSE
"Stroop",0.00549835809027507,0.0264026876113669,0.208249939218609,"LH_Cont_pCun_1","LH","Cont","pCun_1",0.18318110102518,0.169899095873332,0.0192457710835206,0.0671987103139435,0.523177457743243,0.313121447971558,FALSE,FALSE
"Axcpt",0.0602752010410719,0.0243973848563053,2.47055991435469,"LH_Cont_pCun_2","LH","Cont","pCun_2",0.221730896673058,0.296773707441688,0.0658514164644765,-0.021647802044355,0.455606988868962,0.230815906331352,FALSE,FALSE
"Cuedts",-0.00637842935838907,0.0243973848563053,-0.261439059799093,"LH_Cont_pCun_2","LH","Cont","pCun_2",0.221730896673058,0.296773707441688,0.775434857703786,-0.357765236344367,0.138193906652418,-0.117079055128896,FALSE,FALSE
"Stern",0.0721350415343068,0.0243973848563053,2.95667105139198,"LH_Cont_pCun_2","LH","Cont","pCun_2",0.221730896673058,0.296773707441688,0.00759095739738213,0.123991791600262,0.563561988120675,0.363866654120698,FALSE,FALSE
"Stroop",-0.0384745646254592,0.0243973848563053,-1.57699543832526,"LH_Cont_pCun_2","LH","Cont","pCun_2",0.221730896673058,0.296773707441688,0.0294032929126476,0.0386907101091438,0.502103409074372,0.287108681432944,FALSE,FALSE
"Axcpt",0.135446780126447,0.0284119494984323,4.76724696888259,"LH_Cont_PFCl_1","LH","Cont","PFCl_1",0.128396336991154,0.14893258241604,0.551495395947712,-0.269936458105405,0.232290559962712,-0.0200902811608711,FALSE,FALSE
"Cuedts",-0.0358558493057193,0.0284119494984323,-1.26199891027181,"LH_Cont_PFCl_1","LH","Cont","PFCl_1",0.128396336991154,0.14893258241604,0.703897680122049,-0.327383626516561,0.171789142316238,-0.083001274488585,FALSE,FALSE
"Stern",0.0099500149528923,0.0284119494984323,0.350205287864576,"LH_Cont_PFCl_1","LH","Cont","PFCl_1",0.128396336991154,0.14893258241604,0.0490999898535923,0.00138667088690664,0.473669911659728,0.252507217259013,FALSE,FALSE
"Stroop",0.0420492936119585,0.0284119494984323,1.47998621545764,"LH_Cont_PFCl_1","LH","Cont","PFCl_1",0.128396336991154,0.14893258241604,0.348640675400819,-0.193819608312389,0.306883976269461,0.0603261240609916,FALSE,FALSE
"Axcpt",0.0620135278444207,0.0258451400264481,2.39942704047881,"LH_Cont_PFCl_2","LH","Cont","PFCl_2",0.106003683762437,0.0165433505440255,0.393124033652227,-0.211366610705439,0.290216964040965,0.0420760085501438,FALSE,FALSE
"Cuedts",-0.0146630180653764,0.0258451400264481,-0.567341405400448,"LH_Cont_PFCl_2","LH","Cont","PFCl_2",0.106003683762437,0.0165433505440255,0.849186735856265,-0.394723736691382,0.0957272533123975,-0.159312315254178,FALSE,FALSE
"Stern",0.0212822007810706,0.0258451400264481,0.823450782595566,"LH_Cont_PFCl_2","LH","Cont","PFCl_2",0.106003683762437,0.0165433505440255,0.590566483562143,-0.284206971007381,0.21761559044827,-0.035535532104969,FALSE,FALSE
"Stroop",-0.00146626460352737,0.0258451400264481,-0.0567327010813986,"LH_Cont_PFCl_2","LH","Cont","PFCl_2",0.106003683762437,0.0165433505440255,0.00588070552595224,0.138418929860903,0.57349676994283,0.37653457068009,FALSE,FALSE
"Axcpt",0.0900844127662747,0.0245593733958661,3.66802569895525,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,0.239313377202224,0.595181403012975,-0.285903420934719,0.215855838955137,-0.0373795670683528,FALSE,FALSE
"Cuedts",0.00521599107745692,0.0245593733958661,0.212382905434179,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,0.239313377202224,0.749240886678518,-0.346202987179252,0.151115111836219,-0.104043012345894,FALSE,FALSE
"Stern",0.109426446330736,0.0245593733958661,4.45558787542822,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,0.239313377202224,0.0189208447548232,0.0683056659514651,0.523984661029872,0.314124126907027,FALSE,FALSE
"Stroop",0.0206739502765264,0.0245593733958661,0.841794696602737,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,0.239313377202224,0.0017802962607795,0.200672495921444,0.614946723435555,0.430194616540023,FALSE,FALSE
"Axcpt",0.0588184236661644,0.0277804955515166,2.11725609995296,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,0.156162947864439,0.0318217264771078,0.0331558387608706,0.497947039388869,0.282015429775526,FALSE,FALSE
"Cuedts",0.0103938165615366,0.0277804955515166,0.374140790334793,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,0.156162947864439,0.892610564143791,-0.421779881564293,0.0634641007815305,-0.190786053846124,FALSE,FALSE
"Stern",0.0998142013869756,0.0277804955515166,3.59295971527501,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,0.156162947864439,0.320190275193309,-0.182101095429724,0.31784635714322,0.0724203018189135,FALSE,FALSE
"Stroop",-0.024723442210919,0.0277804955515166,-0.88995684634464,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,0.156162947864439,0.00654746276350462,0.132403364112117,0.569369842760739,0.37126333517589,FALSE,FALSE
"Axcpt",0.0764512445634673,0.0222386413273832,3.43776597850563,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,0.12542413083722,0.403065241844733,-0.215185557988818,0.286548764554489,0.0380814979383891,FALSE,FALSE
"Cuedts",-0.0107318192095159,0.0222386413273832,-0.482575308964647,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,0.12542413083722,0.729889065482654,-0.338010763775915,0.160168479831692,-0.0948566479501257,FALSE,FALSE
"Stern",0.0608271085892658,0.0222386413273832,2.73519895814711,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,0.12542413083722,0.119769438080038,-0.0734993610854334,0.413455815463788,0.181052028480244,FALSE,FALSE
"Stroop",-0.00265172585861284,0.0222386413273832,-0.119239562326484,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,0.12542413083722,0.37862450267011,-0.205735249560311,0.295599275232027,0.0479515071780565,FALSE,FALSE
"Axcpt",0.13187336506408,0.0228102252584627,5.78132673263076,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,0.0230457071814035,0.306539274402751,-0.176306110119545,0.323218476265939,0.0783735272434519,FALSE,FALSE
"Cuedts",0.0108324676648832,0.0228102252584627,0.474895251675094,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,0.0230457071814035,0.518525128595227,-0.257951713155486,0.244440825496113,-0.00721044173464214,FALSE,FALSE
"Stern",0.0863645976855804,0.0228102252584627,3.78622292007128,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,0.0230457071814035,0.622289828094122,-0.295940118218829,0.205377513728883,-0.0483241599005061,FALSE,FALSE
"Stroop",0.0263063673153041,0.0228102252584627,1.15327082557172,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,0.0230457071814035,0.739987207729514,-0.342252465228082,0.155491342436638,-0.0996079231508891,FALSE,FALSE
"Axcpt",0.122791939362559,0.0279621589433522,4.39136118249381,"LH_Cont_PFCl_7","LH","Cont","PFCl_7",0.120099617237744,0.100611507511012,0.15352621607743,-0.0975107497241662,0.393202853931911,0.157557203051189,FALSE,FALSE
"Cuedts",-0.000185400056019194,0.0279621589433522,-0.00663039132260105,"LH_Cont_PFCl_7","LH","Cont","PFCl_7",0.120099617237744,0.100611507511012,0.828274830024452,-0.383384079069187,0.108949591575389,-0.146261967203994,FALSE,FALSE
