wave,task,session,subj,r,neg_rmse
wave1,Axcpt,baseline,130518,0.793910785060352,-0.142380707926006
wave1,Axcpt,baseline,155938,0.937728766046053,-0.107633736195217
wave1,Axcpt,baseline,178647,0.810104202969427,-0.143796421912447
wave1,Axcpt,baseline,203418,0.838576893007838,-0.0844412072194272
wave1,Axcpt,baseline,393550,0.907362111056283,-0.0902667651110711
wave1,Axcpt,baseline,448347,0.846907590325826,-0.132222257445445
wave1,Axcpt,baseline,672756,0.897645461016683,-0.110664302407475
wave1,Axcpt,baseline,849971,0.892363583653352,-0.138083827265577
wave1,Axcpt,baseline,877168,0.835206344732374,-0.139078738863779
wave1,Axcpt,baseline,DMCC1596165,0.905292181993401,-0.150899092766621
wave1,Axcpt,baseline,DMCC2609759,0.893767861879579,-0.115989418514322
wave1,Axcpt,baseline,DMCC3091953,0.888081874072715,-0.0949248795363387
wave1,Axcpt,baseline,DMCC6484785,0.899893141368107,-0.0945535622665512
wave1,Axcpt,baseline,DMCC6627478,0.809698394030613,-0.127846283300371
wave1,Axcpt,baseline,DMCC6705371,0.927007150073285,-0.132292818894066
wave1,Axcpt,baseline,DMCC6721369,0.878198888847537,-0.173777719467249
wave2,Axcpt,baseline,130518,0.912251298418764,-0.133980798778175
wave2,Axcpt,baseline,155938,0.964907636424616,-0.127404203060843
wave2,Axcpt,baseline,178647,0.919865094229534,-0.173766387358852
wave2,Axcpt,baseline,203418,0.865026636429629,-0.103725601199779
wave2,Axcpt,baseline,393550,0.940093882377183,-0.0867273274084745
wave2,Axcpt,baseline,448347,0.898331661134358,-0.109189128400495
wave2,Axcpt,baseline,672756,0.926439169076769,-0.105345748754051
wave2,Axcpt,baseline,849971,0.816297553883563,-0.172553424978421
wave2,Axcpt,baseline,877168,0.923923020373011,-0.135538052128846
wave2,Axcpt,baseline,DMCC1596165,0.874573340000151,-0.205868028305964
wave2,Axcpt,baseline,DMCC2609759,0.864242442108139,-0.117164115364664
wave2,Axcpt,baseline,DMCC3091953,0.909606500869386,-0.130100544719996
wave2,Axcpt,baseline,DMCC6484785,0.919255575562627,-0.138585936895794
wave2,Axcpt,baseline,DMCC6627478,0.879779331153765,-0.114550611140732
wave2,Axcpt,baseline,DMCC6705371,0.904638482803242,-0.182827242458776
wave2,Axcpt,baseline,DMCC6721369,0.938077679523704,-0.135375571060596
wave1,Cuedts,baseline,130518,0.820726090722481,-0.147192200101869
wave1,Cuedts,baseline,155938,0.865743923903617,-0.0954140319432345
wave1,Cuedts,baseline,178647,0.95891672575032,-0.136843556285584
wave1,Cuedts,baseline,203418,0.761382187312456,-0.143628386648594
wave1,Cuedts,baseline,393550,0.818252790165741,-0.171190823279233
wave1,Cuedts,baseline,448347,0.911730685950799,-0.140958481962497
wave1,Cuedts,baseline,672756,0.807732720785189,-0.121717662568376
wave1,Cuedts,baseline,849971,0.793021756257315,-0.118128829569482
wave1,Cuedts,baseline,877168,0.84258763726017,-0.15586815398291
wave1,Cuedts,baseline,DMCC1596165,0.906430286937972,-0.150685565126818
wave1,Cuedts,baseline,DMCC2609759,0.727557085442393,-0.133400084044715
wave1,Cuedts,baseline,DMCC3091953,0.809888616834206,-0.0977408655519194
wave1,Cuedts,baseline,DMCC6484785,0.793434373919284,-0.111849503477128
wave1,Cuedts,baseline,DMCC6627478,0.765086771569288,-0.129104380855597
wave1,Cuedts,baseline,DMCC6705371,0.883751107766804,-0.124331118059677
wave1,Cuedts,baseline,DMCC6721369,0.90427833199289,-0.160231083356126
wave2,Cuedts,baseline,130518,0.868888049420546,-0.164245898673754
wave2,Cuedts,baseline,155938,0.850244361021494,-0.111883092221308
wave2,Cuedts,baseline,178647,0.71732390627791,-0.204001125559275
wave2,Cuedts,baseline,203418,0.902031611210428,-0.139276724147201
wave2,Cuedts,baseline,393550,0.790321284565623,-0.117843527766033
wave2,Cuedts,baseline,448347,0.889537906716953,-0.131587403361889
wave2,Cuedts,baseline,672756,0.78785842642354,-0.132417188387637
wave2,Cuedts,baseline,849971,0.747351365301829,-0.118723828137877
wave2,Cuedts,baseline,877168,0.867795572858651,-0.140051440871887
wave2,Cuedts,baseline,DMCC1596165,0.885637028271611,-0.14852498435051
wave2,Cuedts,baseline,DMCC2609759,0.898498266791055,-0.14773612071272
wave2,Cuedts,baseline,DMCC3091953,0.84486871520958,-0.125014546232089
wave2,Cuedts,baseline,DMCC6484785,0.789446299995967,-0.111724270368807
wave2,Cuedts,baseline,DMCC6627478,0.85913979127264,-0.136075410338145
wave2,Cuedts,baseline,DMCC6705371,0.917321408606251,-0.131489013813733
wave2,Cuedts,baseline,DMCC6721369,0.834400947705662,-0.146931082831312
wave1,Stern,baseline,130518,0.752489379698882,-0.188492004818185
wave1,Stern,baseline,155938,0.837869591771336,-0.231890022630611
wave1,Stern,baseline,178647,0.904525895943578,-0.158973554311877
wave1,Stern,baseline,203418,0.767280894175699,-0.17726665847846
wave1,Stern,baseline,393550,0.89072132376967,-0.142595612663726
wave1,Stern,baseline,448347,0.839556989114985,-0.15625962453738
wave1,Stern,baseline,672756,0.895352048912152,-0.155330182516723
wave1,Stern,baseline,849971,0.708453630927867,-0.246277017100585
wave1,Stern,baseline,877168,0.843915714796386,-0.199407095201984
wave1,Stern,baseline,DMCC1596165,0.76887832828377,-0.239255767029968
wave1,Stern,baseline,DMCC2609759,0.906523384703297,-0.203561627192613
wave1,Stern,baseline,DMCC3091953,0.855153387130831,-0.126863087923831
wave1,Stern,baseline,DMCC6484785,0.763749726897799,-0.161211182484325
wave1,Stern,baseline,DMCC6627478,0.729453264402796,-0.221422682892182
wave1,Stern,baseline,DMCC6705371,0.88484061066065,-0.308372064120215
wave1,Stern,baseline,DMCC6721369,0.807756608507066,-0.181944343682813
wave2,Stern,baseline,130518,0.768439713541654,-0.213683062701286
wave2,Stern,baseline,155938,0.887443677083223,-0.148235589733477
wave2,Stern,baseline,178647,0.836098912410495,-0.195786526497905
wave2,Stern,baseline,203418,0.856661685447227,-0.165781150388955
wave2,Stern,baseline,393550,0.864293943544866,-0.151312687152356
wave2,Stern,baseline,448347,,
wave2,Stern,baseline,672756,0.91139770130709,-0.162595160764795
wave2,Stern,baseline,849971,0.855070200992827,-0.124129614052301
wave2,Stern,baseline,877168,0.833680535233179,-0.162013548549567
wave2,Stern,baseline,DMCC1596165,0.784107442865478,-0.206814427773839
wave2,Stern,baseline,DMCC2609759,0.913002055942414,-0.139568934857068
wave2,Stern,baseline,DMCC3091953,0.733108812023513,-0.149874670837534
wave2,Stern,baseline,DMCC6484785,0.789125116248641,-0.150752986072325
wave2,Stern,baseline,DMCC6627478,0.783098670257252,-0.257871744671454
wave2,Stern,baseline,DMCC6705371,0.924713924430947,-0.17552549613044
wave2,Stern,baseline,DMCC6721369,0.886424662270964,-0.164568026942834
wave1,Stroop,baseline,130518,0.856920019382602,-0.105671655588815
wave1,Stroop,baseline,155938,0.756397155321727,-0.0765268967656433
wave1,Stroop,baseline,178647,0.865046396787949,-0.0769830626788247
wave1,Stroop,baseline,203418,0.887319761323758,-0.0861763550473888
wave1,Stroop,baseline,393550,0.885547964785984,-0.0605435869696803
wave1,Stroop,baseline,448347,0.802846256717434,-0.101212551724873
wave1,Stroop,baseline,672756,0.822774897229514,-0.0593298963104233
wave1,Stroop,baseline,849971,0.837440669835131,-0.0671782482403167
wave1,Stroop,baseline,877168,0.783415124847385,-0.0890168348135483
wave1,Stroop,baseline,DMCC1596165,0.781051609458002,-0.0837446883468677
wave1,Stroop,baseline,DMCC2609759,0.895928572808984,-0.0744279518849707
wave1,Stroop,baseline,DMCC3091953,0.752174594925713,-0.0825407741084198
wave1,Stroop,baseline,DMCC6484785,0.844403336973506,-0.0746239606686465
wave1,Stroop,baseline,DMCC6627478,0.828938022116908,-0.104910639764531
wave1,Stroop,baseline,DMCC6705371,0.903764010150099,-0.0814101859831341
wave1,Stroop,baseline,DMCC6721369,0.91025212778874,-0.0773616264202683
wave2,Stroop,baseline,130518,0.79316910117717,-0.119326977004176
wave2,Stroop,baseline,155938,0.850167249248629,-0.0649411419488521
wave2,Stroop,baseline,178647,0.923512335084405,-0.0709768275730594
wave2,Stroop,baseline,203418,0.863822700233005,-0.0854422490447042
wave2,Stroop,baseline,393550,0.829265444239599,-0.0755777639861041
wave2,Stroop,baseline,448347,,
wave2,Stroop,baseline,672756,0.834208972991065,-0.0839659560426941
wave2,Stroop,baseline,849971,0.820984855481352,-0.0631012540201917
wave2,Stroop,baseline,877168,0.746363709086469,-0.155092789133466
wave2,Stroop,baseline,DMCC1596165,,
wave2,Stroop,baseline,DMCC2609759,0.708515738547741,-0.070502728158966
wave2,Stroop,baseline,DMCC3091953,0.792577965607407,-0.076815715993872
wave2,Stroop,baseline,DMCC6484785,0.830653690261677,-0.0881778988060852
wave2,Stroop,baseline,DMCC6627478,0.902034345469706,-0.0987066056593494
wave2,Stroop,baseline,DMCC6705371,0.891377776272205,-0.125323908200313
wave2,Stroop,baseline,DMCC6721369,0.866314811985354,-0.0841734323878213
