"","task","b","se","t","roi","hemi","community","parcel","r.spearman","r.pearson","p","lb","ub","icc","control","conjunc"
"1","Axcpt",-0.00948799885150821,0.0220728842280429,-0.429848621208008,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.499999999443503,-0.297315212167781,0.297315212562555,2.16527427404668e-10,FALSE,FALSE
"2","Cuedts",0.0169948118171643,0.0220728842280429,0.769940694726831,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.499936830447519,-0.297292806218782,0.297337618184085,2.45786447807152e-05,FALSE,FALSE
"3","Stern",0.0343618753754532,0.0220728842280429,1.55674605187289,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.20269707481276,-0.175409559071312,0.410241226028418,0.128613073330659,FALSE,FALSE
"4","Stroop",-0.00857522805601282,0.0220728842280429,-0.38849603737414,"LH_Cont_Cing_1","LH","Cont","Cing_1",0.0745667098247029,0.0577766017599634,0.0676991314418324,-0.0736325596839576,0.492516772041348,0.228689133514553,FALSE,FALSE
"5","Axcpt",0.0730190037831858,0.0323091475796552,2.26001022166135,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.333278843815181,-0.235178757623184,0.357031312644754,0.0668078049272448,FALSE,FALSE
"6","Cuedts",0.0177229825566193,0.0323091475796552,0.54854379902549,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.158225716710978,-0.149628096060616,0.432025067528815,0.154563120910761,FALSE,FALSE
"7","Stern",0.165937153964805,0.0323091475796552,5.13591866067349,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.5,-0.297315212365168,0.297315212365168,0,FALSE,FALSE
"8","Stroop",0.0311692480646124,0.0323091475796552,0.964718985165656,"LH_Cont_Cing_2","LH","Cont","Cing_2",0.0847406862363598,0.038611306737011,0.108260351868828,-0.113661854180913,0.461321393676982,0.190076695671208,FALSE,FALSE
"9","Axcpt",0.0778756216916591,0.0397710311936052,1.95809913282261,"LH_Cont_OFC_1","LH","Cont","OFC_1",0.0406888305587197,-0.00514814798799535,0.331137407227776,-0.234312800298171,0.35783068795846,0.0677201178208385,FALSE,FALSE
"10","Cuedts",-0.0254750097390466,0.0397710311936052,-0.640541846024419,"LH_Cont_OFC_1","LH","Cont","OFC_1",0.0406888305587197,-0.00514814798799535,0.409260138042295,-0.264510553052731,0.329432618030598,0.0356047218538766,FALSE,FALSE
